 ,0,0,16,16
-,16,0,16,16
/,32,0,16,16
0,48,0,16,16
1,64,0,16,16
2,80,0,16,16
3,96,0,16,16
4,112,0,16,16
5,128,0,16,16
6,144,0,16,16
7,160,0,16,16
8,176,0,16,16
9,192,0,16,16
A,0,16,16,16
B,16,16,16,16
C,32,16,16,16
D,48,16,16,16
E,64,16,16,16
F,80,16,16,16
G,96,16,16,16
H,112,16,16,16
I,128,16,16,16
J,144,16,16,16
K,160,16,16,16
L,176,16,16,16
M,192,16,16,16
N,0,32,16,16
O,16,32,16,16
P,32,32,16,16
Q,48,32,16,16
R,64,32,16,16
S,80,32,16,16
T,96,32,16,16
U,112,32,16,16
V,128,32,16,16
W,144,32,16,16
X,160,32,16,16
Y,176,32,16,16
Z,192,32,16,16
_,0,48,16,16
·,16,48,16,16
heart,32,48,16,16
Ç,48,48,16,16
Ã,64,48,16,16
É,80,48,16,16
Ê,96,48,16,16
È,112,48,16,16
Ó,128,48,16,16
Õ,144,48,16,16
Ô,160,48,16,16
Í,176,48,16,16
(,192,48,16,16
),0,64,16,16
Á,16,64,16,16
history,32,64,16,16
lightgun,48,64,16,16
